epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1550.27,1.59397,1.12404,1.1228,0.66211,0.63491,0.65614,0.35069,1.58232,1.02521,1.07455,0.0005941,0.0005941,0.0005941
43,1587.86,1.58967,1.12091,1.12572,0.68475,0.63443,0.66684,0.34675,1.59165,0.9983,1.0832,0.0005842,0.0005842,0.0005842
44,1624.54,1.59368,1.12216,1.12406,0.63342,0.65258,0.66571,0.34918,1.60634,0.9984,1.08897,0.0005743,0.0005743,0.0005743
45,1660.51,1.59059,1.11554,1.11867,0.67474,0.64486,0.66221,0.36312,1.56041,0.99327,1.06905,0.0005644,0.0005644,0.0005644
46,1697.49,1.57771,1.09471,1.11709,0.70899,0.62302,0.65717,0.34325,1.58398,0.99222,1.08064,0.0005545,0.0005545,0.0005545
47,1736.1,1.57529,1.10312,1.11923,0.67626,0.62111,0.66207,0.36052,1.58279,0.99686,1.08242,0.0005446,0.0005446,0.0005446
48,1773.87,1.56728,1.08961,1.10933,0.65852,0.65863,0.67116,0.37358,1.56342,1.00184,1.07148,0.0005347,0.0005347,0.0005347
49,1811.57,1.58875,1.09941,1.11737,0.68104,0.63802,0.66187,0.35714,1.57098,1.01266,1.07179,0.0005248,0.0005248,0.0005248
50,1848.92,1.55895,1.09488,1.11305,0.65837,0.64469,0.66782,0.35703,1.58804,0.99754,1.07415,0.0005149,0.0005149,0.0005149
51,1886.79,1.58135,1.09352,1.11419,0.69378,0.63751,0.67172,0.36936,1.56795,0.98789,1.07357,0.000505,0.000505,0.000505
52,1924.89,1.56507,1.07745,1.11267,0.69487,0.6565,0.68483,0.3797,1.54186,0.96681,1.065,0.0004951,0.0004951,0.0004951
53,1962.1,1.57034,1.07738,1.11139,0.73746,0.62075,0.67023,0.37234,1.56556,1.00791,1.07174,0.0004852,0.0004852,0.0004852
54,1998.61,1.55319,1.06295,1.10663,0.69165,0.63588,0.67231,0.37427,1.55816,0.98911,1.06723,0.0004753,0.0004753,0.0004753
55,2036.26,1.55295,1.06353,1.10425,0.74208,0.61984,0.69424,0.37758,1.55612,0.95996,1.06166,0.0004654,0.0004654,0.0004654
56,2073.05,1.55186,1.05359,1.10805,0.69315,0.66834,0.69394,0.37091,1.58323,0.98865,1.0758,0.0004555,0.0004555,0.0004555
57,2109.19,1.55134,1.06826,1.10657,0.69472,0.65832,0.69017,0.38768,1.53308,0.94704,1.05911,0.0004456,0.0004456,0.0004456
58,2146.37,1.5567,1.06703,1.10694,0.67921,0.67231,0.691,0.37696,1.54144,0.9691,1.05568,0.0004357,0.0004357,0.0004357
59,2184.13,1.54992,1.06736,1.10937,0.72039,0.64118,0.68896,0.38201,1.55824,0.97273,1.06054,0.0004258,0.0004258,0.0004258
60,2220.76,1.54173,1.05612,1.10154,0.70857,0.68288,0.70384,0.39867,1.54278,0.92847,1.06039,0.0004159,0.0004159,0.0004159
61,2258.25,1.54949,1.05101,1.10223,0.70444,0.671,0.70214,0.39675,1.51446,0.94631,1.05347,0.000406,0.000406,0.000406
62,2295.98,1.5304,1.05019,1.09548,0.69073,0.66151,0.69181,0.38217,1.54063,0.97978,1.05186,0.0003961,0.0003961,0.0003961
63,2333.66,1.52308,1.036,1.09781,0.72348,0.68369,0.70978,0.39236,1.54641,0.91713,1.05947,0.0003862,0.0003862,0.0003862
64,2370.97,1.54026,1.03109,1.09992,0.6907,0.68095,0.69952,0.38211,1.54328,0.94367,1.05931,0.0003763,0.0003763,0.0003763
65,2409.17,1.52238,1.02745,1.09489,0.71579,0.68936,0.71438,0.41057,1.49596,0.90463,1.04384,0.0003664,0.0003664,0.0003664
66,2443.77,1.53485,1.04128,1.09625,0.74034,0.67063,0.71797,0.4062,1.49562,0.91856,1.04673,0.0003565,0.0003565,0.0003565
67,2481.96,1.51614,1.02851,1.08792,0.7146,0.68911,0.71515,0.4,1.51362,0.91843,1.04731,0.0003466,0.0003466,0.0003466
68,2519.06,1.52016,1.02011,1.09526,0.67422,0.67479,0.69572,0.3943,1.51057,1.01538,1.04619,0.0003367,0.0003367,0.0003367
69,2556.31,1.51193,1.01872,1.09339,0.72366,0.6781,0.71954,0.40947,1.51598,0.91987,1.04569,0.0003268,0.0003268,0.0003268
70,2593.45,1.51765,1.02351,1.0892,0.72453,0.69358,0.72701,0.42407,1.4947,0.89227,1.0429,0.0003169,0.0003169,0.0003169
71,2630.43,1.51397,1.00857,1.08982,0.71546,0.70191,0.73037,0.42323,1.50163,0.87859,1.04446,0.000307,0.000307,0.000307
72,2668.21,1.50849,1.0014,1.09195,0.73278,0.68166,0.72256,0.4136,1.49916,0.89484,1.04261,0.0002971,0.0002971,0.0002971
73,2704.46,1.50855,1.00953,1.09242,0.73315,0.69764,0.74054,0.42643,1.50083,0.87929,1.04485,0.0002872,0.0002872,0.0002872
74,2740.24,1.51053,1.01255,1.09009,0.73956,0.69516,0.73426,0.4194,1.47842,0.88678,1.03646,0.0002773,0.0002773,0.0002773
75,2778.39,1.49228,0.9989,1.08044,0.73886,0.71291,0.74243,0.43098,1.49399,0.88416,1.04118,0.0002674,0.0002674,0.0002674
76,2815.68,1.49199,0.99029,1.08367,0.74962,0.67949,0.73471,0.43081,1.47977,0.87961,1.0338,0.0002575,0.0002575,0.0002575
77,2852.94,1.49522,0.98596,1.08462,0.76718,0.69674,0.74198,0.42638,1.48425,0.88563,1.03523,0.0002476,0.0002476,0.0002476
78,2889.19,1.49173,0.98126,1.0801,0.75295,0.68865,0.73704,0.43036,1.47713,0.87467,1.03634,0.0002377,0.0002377,0.0002377
79,2927.55,1.50032,0.99093,1.08441,0.74628,0.69998,0.74206,0.43089,1.47635,0.88132,1.03258,0.0002278,0.0002278,0.0002278
80,2964.32,1.50115,0.9959,1.08402,0.74662,0.71053,0.74659,0.43527,1.46943,0.88255,1.03361,0.0002179,0.0002179,0.0002179
81,3002.58,1.49019,0.98385,1.08246,0.7514,0.70411,0.74456,0.44541,1.45614,0.85607,1.02835,0.000208,0.000208,0.000208
82,3039.93,1.486,0.98412,1.07723,0.75232,0.68663,0.73617,0.42941,1.47426,0.87887,1.03044,0.0001981,0.0001981,0.0001981
83,3077.15,1.48199,0.9752,1.08371,0.74951,0.69681,0.74573,0.44048,1.46204,0.85684,1.03058,0.0001882,0.0001882,0.0001882
84,3114.8,1.48489,0.96966,1.07884,0.75935,0.70134,0.74974,0.4404,1.47813,0.85375,1.0346,0.0001783,0.0001783,0.0001783
85,3151.4,1.47855,0.97081,1.0781,0.76333,0.71093,0.75722,0.445,1.46366,0.84314,1.02833,0.0001684,0.0001684,0.0001684
86,3190.49,1.48298,0.96937,1.08165,0.75794,0.70131,0.74786,0.43456,1.46399,0.86302,1.02744,0.0001585,0.0001585,0.0001585
87,3228.63,1.47083,0.95495,1.073,0.74595,0.71127,0.7576,0.44259,1.45706,0.85089,1.02624,0.0001486,0.0001486,0.0001486
88,3266.71,1.47583,0.95711,1.07149,0.76496,0.70485,0.75309,0.44408,1.45236,0.84532,1.02849,0.0001387,0.0001387,0.0001387
89,3304.49,1.46959,0.95888,1.07392,0.74459,0.72413,0.75946,0.44971,1.44531,0.84345,1.02427,0.0001288,0.0001288,0.0001288
90,3341.46,1.46068,0.9552,1.07366,0.75544,0.71964,0.76005,0.45619,1.4413,0.83258,1.02254,0.0001189,0.0001189,0.0001189
91,3382.73,1.4263,0.91991,1.07445,0.78052,0.66711,0.73402,0.432,1.45707,0.88166,1.02838,0.000109,0.000109,0.000109
92,3421.32,1.41313,0.86983,1.06945,0.75332,0.70145,0.75187,0.44805,1.45594,0.84061,1.02775,9.91e-05,9.91e-05,9.91e-05
93,3459.6,1.40626,0.86729,1.06552,0.75253,0.7191,0.76186,0.45446,1.43501,0.84602,1.02267,8.92e-05,8.92e-05,8.92e-05
94,3496.13,1.40503,0.86156,1.06855,0.74639,0.72102,0.76098,0.4447,1.46656,0.84769,1.02919,7.93e-05,7.93e-05,7.93e-05
95,3532.76,1.39999,0.85164,1.06338,0.76392,0.71728,0.76184,0.45186,1.44227,0.83269,1.02104,6.94e-05,6.94e-05,6.94e-05
96,3569.04,1.3974,0.84341,1.06293,0.77511,0.72045,0.77171,0.45502,1.43873,0.82406,1.02072,5.95e-05,5.95e-05,5.95e-05
97,3606.42,1.38828,0.83715,1.06104,0.77104,0.73163,0.77461,0.46189,1.43766,0.81376,1.02138,4.96e-05,4.96e-05,4.96e-05
98,3643.34,1.39698,0.83868,1.05662,0.77905,0.73173,0.77658,0.46026,1.43698,0.81183,1.02229,3.97e-05,3.97e-05,3.97e-05
99,3680.99,1.38016,0.82878,1.05874,0.78444,0.72149,0.77658,0.46434,1.42856,0.80667,1.01861,2.98e-05,2.98e-05,2.98e-05
100,3717.76,1.3784,0.82465,1.05281,0.78533,0.72263,0.77653,0.47099,1.4217,0.80427,1.01691,1.99e-05,1.99e-05,1.99e-05
