epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1492.61,1.74159,1.30415,1.19863,0.5774,0.57148,0.55765,0.26952,1.71282,1.15774,1.14885,6.04e-05,6.04e-05,6.04e-05
42,1528.21,1.739,1.3042,1.19149,0.59272,0.57778,0.56916,0.27833,1.69793,1.14133,1.14246,5.941e-05,5.941e-05,5.941e-05
43,1564.74,1.73972,1.29491,1.19511,0.57369,0.56823,0.56023,0.27154,1.7009,1.13839,1.14781,5.842e-05,5.842e-05,5.842e-05
44,1601.13,1.73909,1.29734,1.19418,0.57246,0.5814,0.55979,0.26444,1.7182,1.15024,1.14859,5.743e-05,5.743e-05,5.743e-05
45,1637.39,1.73359,1.29179,1.18339,0.58421,0.57387,0.55756,0.26794,1.70835,1.15008,1.14744,5.644e-05,5.644e-05,5.644e-05
46,1673.3,1.73923,1.27942,1.18741,0.62444,0.58515,0.57806,0.27894,1.69346,1.11223,1.13858,5.545e-05,5.545e-05,5.545e-05
47,1709.75,1.71926,1.28308,1.1808,0.58579,0.5945,0.56605,0.27308,1.6975,1.15031,1.132,5.446e-05,5.446e-05,5.446e-05
48,1745.54,1.7202,1.2823,1.17692,0.59868,0.56923,0.55768,0.26445,1.73498,1.19134,1.15061,5.347e-05,5.347e-05,5.347e-05
49,1781.95,1.72286,1.28391,1.1798,0.6112,0.58153,0.57893,0.28859,1.67005,1.12034,1.12712,5.248e-05,5.248e-05,5.248e-05
50,1818.24,1.70042,1.26971,1.17538,0.61205,0.58384,0.56927,0.28029,1.67271,1.13115,1.12843,5.149e-05,5.149e-05,5.149e-05
51,1854.73,1.71539,1.26777,1.17785,0.64126,0.59063,0.5921,0.29301,1.6845,1.13628,1.13307,5.05e-05,5.05e-05,5.05e-05
52,1891.3,1.69878,1.25766,1.17152,0.61449,0.60267,0.5939,0.29692,1.66294,1.1028,1.1244,4.951e-05,4.951e-05,4.951e-05
53,1928.15,1.72026,1.25455,1.17667,0.61833,0.60185,0.59427,0.29594,1.658,1.11323,1.12216,4.852e-05,4.852e-05,4.852e-05
54,1964.62,1.69099,1.2505,1.1692,0.59616,0.60608,0.58682,0.28698,1.67621,1.09885,1.13231,4.753e-05,4.753e-05,4.753e-05
55,2000.83,1.70287,1.24764,1.17154,0.64116,0.6008,0.60232,0.29837,1.67965,1.09405,1.1301,4.654e-05,4.654e-05,4.654e-05
56,2037.66,1.68934,1.23048,1.16831,0.64625,0.59272,0.59851,0.28587,1.72716,1.11146,1.14885,4.555e-05,4.555e-05,4.555e-05
